timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,contour_error,kcm_intervention
0.278,9.999913344582454,0.03700710938062149,10.0,0.03700710938062148,4.54,300.0,20000.0,8.665541754560024e-05,1.7514086261662718
0.279,9.999942612226139,0.041867021252768255,10.0,0.041867021252768255,4.86,320.0,20000.0,5.738777386099514e-05,0.9929394401469637
0.28,9.999973634915431,0.047026927995408974,10.0,0.047026927995408974,5.16,300.0,-20000.0,2.6365084568880093e-05,1.8210509668086838
0.281,10.000006521213518,0.05250682931672838,10.0,0.05250682931672838,5.48,320.0,20000.0,6.521213517629576e-06,1.4281813913180352
0.28200000000000003,10.000041138497636,0.058286725651753794,10.0,0.058286725651753794,5.78,300.0,-20000.0,4.1138497635984095e-05,0.40760708383503963
0.28300000000000003,10.000077593011016,0.06438661672196598,10.0,0.06438661672196598,6.1000000000000005,320.0,20000.0,7.759301101550874e-05,2.2822014408517006
0.28400000000000003,10.00011600213668,0.07082650218205497,10.0,0.07082650218205497,6.44,340.0,20000.0,0.00011600213668039316,0.36878697319104836
0.28500000000000003,10.00015623191189,0.0775863824742781,10.0,0.07758638247427808,6.760000000000001,320.0,-20000.0,0.00015623191188929297,0.44749397545082653
0.28600000000000003,10.000198385679914,0.08468625733654442,10.0,0.0846862573365444,7.1000000000000005,340.0,20000.0,0.00019838567991392608,2.011745957805463
0.28700000000000003,10.00024256492406,0.09214612651732679,10.0,0.09214612651732677,7.460000000000001,360.0,20000.0,0.00024256492405960728,1.8298890495755276
0.28800000000000003,10.000288884827388,0.09998598968364261,10.0,0.0999859896836426,7.840000000000001,380.0,20000.0,0.00028888482738764765,0.5792195550945248
0.289,10.000337460872956,0.10822584650083289,10.0,0.10822584650083288,8.24,400.0,20000.0,0.0003374608729558304,0.9793521179196301
0.29,10.000388408963813,0.11688569663187084,10.0,0.11688569663187083,8.66,420.0,20000.0,0.00038840896381309165,0.9770619772367322
0.291,10.000441827343316,0.12598553984352737,10.0,0.12598553984352734,9.1,440.0,20000.0,0.0004418273433159925,2.599350828037376
0.292,10.000497812154853,0.1355453759143435,10.0,0.13554537591434349,9.56,460.0,20000.0,0.0004978121548528947,1.33806822491609
0.293,10.000556223675762,0.1455452053175996,10.0,0.1455452053175996,10.0,440.0,-20000.0,0.0005562236757619132,1.4554844158225075
0.294,10.000617175689126,0.1560050277277587,10.0,0.1560050277277587,10.46,460.0,20000.0,0.0006171756891255596,0.9679746540498766
0.295,10.000680782518016,0.16694484281629282,10.0,0.1669448428162928,10.940000000000001,480.0,20000.0,0.0006807825180157323,0.9652436683100709
0.296,10.000746927059387,0.17834465092431143,10.0,0.1783446509243114,11.400000000000002,460.0,-20000.0,0.0007469270593869483,0.1905535276271731
0.297,10.000815725956274,0.19022445171017427,10.0,0.19022445171017424,11.880000000000003,480.0,20000.0,0.0008157259562739938,0.9595042320011836
0.298,10.000887296631701,0.20260424482792946,10.0,0.20260424482792946,12.380000000000003,500.0,20000.0,0.0008872966317010622,0.956095781432102
0.299,10.00096175740868,0.21550402992663137,10.0,0.21550402992663137,12.900000000000002,520.0,20000.0,0.0009617574086799863,0.9523281759199287
0.3,10.00103920075065,0.22894380680457038,10.0,0.22894380680457038,13.440000000000001,540.0,20000.0,0.0010392007506503376,1.6348432914452649
0.301,10.001119514774482,0.2429035757732022,10.0,0.2429035757732022,13.96,520.0,-20000.0,0.0011195147744818001,0.08980078030772909
0.302,10.001202819503158,0.25740333647199237,10.0,0.25740333647199237,14.5,540.0,20000.0,0.0012028195031579259,0.6255925196083232
0.303,10.001288976533987,0.2724230893649676,10.0,0.2724230893649676,15.02,520.0,-20000.0,0.001288976533986741,0.766047185780254
0.304,10.00137807549045,0.28798283426570287,10.0,0.28798283426570287,15.559999999999999,540.0,20000.0,0.0013780754904502146,1.7151688743025215
0.305,10.001470203776064,0.30410257099987414,10.0,0.30410257099987414,16.119999999999997,560.0,20000.0,0.001470203776063883,1.7733242109784682
0.306,10.001565479853832,0.32080229921529746,10.0,0.32080229921529746,16.699999999999996,580.0,20000.0,0.0015654798538324857,0.7240714521266141
0.307,10.001663760961126,0.33806201939912284,10.0,0.33806201939912284,17.259999999999994,560.0,-20000.0,0.0016637609611258597,0.34864600374717825
0.308,10.001765166280936,0.3559017311950324,10.0,0.3559017311950324,17.839999999999993,580.0,20000.0,0.00176516628093637,0.4179615141972291
0.309,10.001869779256836,0.3743414344498376,10.0,0.3743414344498376,18.439999999999994,600.0,20000.0,0.0018697792568360683,2.718515484713978
0.31,10.001977680872432,0.39340112902350144,10.0,0.39340112902350144,19.059999999999995,620.0,20000.0,0.0019776808724323303,1.9518060460626168
0.311,10.002088762924528,0.41306081520557725,10.0,0.41306081520557725,19.659999999999997,600.0,-20000.0,0.002088762924527643,0.2973450789771348
0.312,10.00220310471675,0.4333404928646169,10.0,0.4333404928646169,20.279999999999998,620.0,20000.0,0.002203104716750559,2.2789413644058056
0.313,10.002320782972765,0.45426016188274576,10.0,0.45426016188274576,20.919999999999998,640.0,20000.0,0.0023207829727649454,1.0261193537962767
0.314,10.00244187171627,0.47583982215616516,10.0,0.47583982215616516,21.58,660.0,20000.0,0.002441871716269972,2.0016381704099464
0.315,10.002566486670307,0.4980994733464518,10.0,0.4980994733464518,22.259999999999998,680.0,20000.0,0.002566486670307455,0.37744926607238555
0.316,10.002694744817898,0.5210591151086305,10.0,0.5210591151086305,22.959999999999997,700.0,20000.0,0.0026947448178979982,0.8813309953350139
0.317,10.002826494236526,0.5446987479757182,10.0,0.5446987479757182,23.639999999999997,680.0,-20000.0,0.0028264942365261447,1.0438251670252752
0.318,10.002961804109953,0.5690383718684194,10.0,0.5690383718684194,24.339999999999996,700.0,20000.0,0.0029618041099528374,1.7490098226434614
0.319,10.003100740681976,0.5940979867223822,10.0,0.5940979867223822,25.059999999999995,720.0,20000.0,0.0031007406819760774,1.9933682067719247
0.32,10.00324314601015,0.6198575930998583,10.0,0.6198575930998583,25.759999999999994,700.0,-20000.0,0.00324314601014919,1.907599706293447
0.321,10.003389134417523,0.6463371906682677,10.0,0.6463371906682677,26.479999999999993,720.0,20000.0,0.003389134417522754,0.8577493061807201
0.322,10.003538821487133,0.6735567790887635,10.0,0.6735567790887635,27.21999999999999,740.0,20000.0,0.0035388214871332484,0.4787711180002782
0.323,10.00369226822284,0.7015363583225422,10.0,0.7015363583225422,27.979999999999993,760.0,20000.0,0.0036922682228404113,2.593035200469616
0.324,10.003849589967684,0.7302959280319207,10.0,0.7302959280319207,28.759999999999994,780.0,20000.0,0.003849589967684253,0.8417929687336705
0.325,10.004010903564685,0.7598554878717326,10.0,0.7598554878717326,29.559999999999995,800.0,20000.0,0.004010903564685364,0.8358619829938645
0.326,10.004176048991408,0.7901950384120427,10.0,0.7901950384120427,30.339999999999996,780.0,-20000.0,0.004176048991407555,0.46014301621410414
0.327,10.004345144130856,0.8213345793019438,10.0,0.8213345793019438,31.139999999999997,800.0,20000.0,0.004345144130855516,0.8243591664573449
0.328,10.00451824456695,0.8532941105287785,10.0,0.8532941105287785,31.959999999999997,820.0,20000.0,0.004518244566950713,1.0999526042197403
0.329,10.0046954681827,0.8860936317415953,10.0,0.8860936317415953,32.8,840.0,20000.0,0.004695468182699614,0.8120563499208252
0.33,10.004876867282064,0.9197531429437318,10.0,0.9197531429437318,33.66,860.0,20000.0,0.004876867282064268,1.120035587763706
0.331,10.005062559828048,0.9542926437837608,10.0,0.9542926437837608,34.54,880.0,20000.0,0.005062559828047597,0.7989535333843056
0.332,10.005252380278266,0.9896921348563268,10.0,0.9896921348563268,35.4,860.0,-20000.0,0.005252380278266244,1.0180636988902219
0.333,10.005446447795707,1.0259716158035326,10.0,1.0259716158035326,36.28,880.0,20000.0,0.005446447795707243,0.7827795875257338
0.334,10.005644883403335,1.0631510862584708,10.0,1.0631510862584708,37.18,900.0,20000.0,0.005644883403334688,0.7787605761648881
0.335,10.005847733905169,1.1012505462503643,10.0,1.1012505462503643,38.1,920.0,20000.0,0.005847733905168795,0.8063493429092682
0.336,10.006055120644172,1.140289995410675,10.0,1.140289995410675,39.04,940.0,20000.0,0.006055120644171908,0.7641394497421846
0.337,10.006267087064405,1.180289433784691,10.0,1.180289433784691,40.0,960.0,20000.0,0.006267087064404819,2.443391535997621
0.338,10.006483543422396,1.2212288615609201,10.0,1.2212288615609201,40.94,940.0,-20000.0,0.0064835434223962105,0.567918323319481
0.339,10.006704530762228,1.2631282787954787,10.0,1.2631282787954787,41.9,960.0,20000.0,0.006704530762227989,1.5692694214916747
0.34,10.00693017222684,1.306007685110509,10.0,1.306007685110509,42.879999999999995,980.0,20000.0,0.006930172226839559,0.2298954338390688
0.341,10.00716050542035,1.3498870805783132,10.0,1.3498870805783132,43.879999999999995,1000.0,20000.0,0.007160505420349849,1.2916830032061264
0.342,10.007395564166924,1.3947864652888597,10.0,1.4000000000000001,44.9,1020.0,20000.0,0.007395564166923663,1.0811866324609398
0.343,10.00763547026951,1.440725838870374,10.0,1.440725838870374,45.94,1040.0,20000.0,0.007635470269509169,0.709463394620452
0.34400000000000003,10.007880347871033,1.4877252009400903,10.0,1.4877252009400903,47.0,1060.0,20000.0,0.007880347871033422,0.7007732539375543
0.34500000000000003,10.008130019529217,1.5357645521436931,10.0,1.5357645521436931,48.04,1040.0,-20000.0,0.008130019529216881,1.5111571251700189
