step,contour_error,v_u_policy,v_u_exec,v_ratio_cap,v_ratio_brake,cap_violation_ratio,tracking_reward,cap_violation_penalty,corridor_active,reward
22,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-3.162296718552472
23,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.982552667870218
24,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.706008985718224
25,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-2.34121342755996
26,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,-1.900462909356146
27,0.0,0.8,0.8,1.0,1.0,0.0,0.1,0.0,0.0,2.517041865986807
28,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-8.9769992765214
29,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.157655015097035
30,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.299861629943411
31,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.398778411927461
32,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.453152115198936
33,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.465382964423874
34,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.441596143954637
35,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.39171796797871
36,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.329555765735517
37,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.682821303410908
38,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-9.958129583983148
39,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-10.1453090785758
40,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,-10.23748754703037
41,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.231191233574547
42,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.12645527521056
43,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-9.926942112402449
44,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.063578888698776
45,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.17225792976053
46,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.252397959148214
47,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.307009989744461
48,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.342771540632839
49,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.527410064182181
50,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.613940475374811
51,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.59888327453015
52,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-10.682507231508463
53,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-6.765479042491729
54,0.0,0.8,0.8,0.8765147677854428,1.0,0.0,0.0,0.0,0.0,-6.847744360114838
55,0.0,0.8,0.8,0.438258095269612,1.0,0.36174190473038803,0.0,-1.046857645103753,0.0,-7.976123567935387
56,0.0,0.8,0.8,0.438258095269612,1.0,0.36174190473038803,0.0,-1.046857645103753,0.0,-8.05688057329028
57,0.0,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-8.833106932019332
58,0.0,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-8.912333679179351
59,0.0,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-8.990822554529753
60,0.0,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-9.068608197622634
61,0.0,0.8,0.8,0.3332162203618774,0.9463173844040199,0.4667837796381226,0.0,-1.7430967754660114,0.0,-9.145735959881458
62,0.0,0.8,0.8,0.3332162203618774,0.8576226396412734,0.4667837796381226,0.0,-1.7430967754660114,0.0,-9.22226059143258
63,0.0,0.8,0.8,0.3332162203618774,0.7586280986262408,0.4667837796381226,0.0,-1.7430967754660114,0.0,-13.099879831459821
64,0.0,0.8,0.8,0.3332162203618774,0.6509922981879412,0.4667837796381226,0.0,-1.7430967754660114,0.0,-12.738949260401384
65,0.0,0.8,0.8,0.3332162203618774,0.541841778254897,0.4667837796381226,0.0,-1.7430967754660114,0.0,-12.487926205151872
66,0.0,0.8,0.8,0.3332162203618774,0.43037676170008254,0.4667837796381226,0.0,-1.7430967754660114,0.0,-12.355664962840976
67,0.013677986288495706,0.8,0.8,0.31487903180655535,0.31487903180655535,0.4851209681934447,0.0,-1.8827388302475614,0.0,-17.21175399625236
68,0.0525517517677772,0.8,0.8,0.4148790318065554,0.5698081415804697,0.38512096819344466,0.0,-1.1865452811380497,0.0,-20.0
69,0.08718287655993924,0.8,0.8,0.5148790318065554,0.5346097200127472,0.2851209681934447,0.0,-0.6503517320285384,0.0,-20.0
70,0.11898557422735541,0.8,0.8,0.501175047204013,0.501175047204013,0.2988249527959871,0.0,-0.7143708193081912,0.0,-20.0
71,0.14937405833239797,0.8,0.8,0.4683734944171462,0.4683734944171462,0.33162650558285384,0.0,-0.8798091136407566,0.0,-20.0
72,0.17976254243744058,0.8,0.8,0.4347243335350434,0.4347243335350434,0.3652756664649566,0.0,-1.0674105000913459,0.0,-20.0
73,0.21156524010485672,0.8,0.8,0.3982420897675748,0.3982420897675748,0.40175791023242524,0.0,-1.2912753474746037,0.0,-20.0
74,0.24619636489701877,0.8,0.8,0.356081541778044,0.356081541778044,0.443918458221956,0.0,-1.576508780401268,0.0,-20.0
75,0.2850701303763003,0.8,0.8,0.3035834969211363,0.3035834969211363,0.49641650307886376,0.0,-1.9714347562323804,0.0,-8.75491651115693
76,0.32960075010507484,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-13.713606583760463
77,0.38120243764571465,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-13.065873513537563
78,0.4412894065605921,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-12.328983309233564
79,0.5112758704120821,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-11.525505625257683
80,0.5925760427625569,0.8,0.8,0.3332162203618774,1.0,0.4667837796381226,0.0,-1.7430967754660114,0.0,-10.681744309471306
81,0.6866041371743888,0.8,0.8,0.28321622036187744,1.0,0.5167837796381226,0.0,-2.1365237991765094,0.0,-10.221161330099441
82,0.7947743672099526,0.8,0.8,0.23321622036187745,1.0,0.5667837796381225,0.0,-2.569950822887007,0.0,-9.824092533729207
