timestamp,position_x,position_y,reference_x,reference_y,velocity,acceleration,jerk,omega,domega,jerk_proxy,contour_error,kcm_intervention,corner_mask,dist_to_corner,mode,mode_proxy
0.022,0.045999999184962795,-7.9395999392979e-06,0.04599999918496279,0.0,5.52,460.0,20000.0,-0.276,-23.0,-1000.0,7.9395999392979e-06,1.8879129209559657,0.0,9.959520000604792,normal,0.0
0.023,0.0519999989149628,-9.739599912299034e-06,0.05199999891496279,0.0,6.0,480.0,20000.0,-0.30000000000000004,-24.0,-1000.0,9.739599912299034e-06,1.8793715824296395,0.0,9.954000000815038,normal,0.0
0.024,0.058499998571681554,-1.1852099875111082e-05,0.05849999857168155,0.0,6.5,500.0,20000.0,-0.32500000000000007,-25.0,-1000.0,1.1852099875111082e-05,1.8704706717277084,0.0,9.948000001085036,normal,0.0
0.025,0.06551999813924604,-1.4316119824517618e-05,0.06551999813924603,0.0,7.02,520.0,20000.0,-0.3510000000000001,-26.0,-1000.0,1.4316119824517618e-05,1.861210248454817,0.0,9.941500001428318,normal,0.0
0.026000000000000002,0.07307999759914453,-1.7173799756464748e-05,0.07307999759914452,0.0,7.56,540.0,20000.0,-0.3780000000000001,-27.0,-1000.0,1.7173799756464748e-05,1.8515900145877406,0.0,9.934480001860754,normal,0.0
0.027,0.08119999692991038,-2.04705196658943e-05,0.08119999692991037,0.0,8.12,560.0,20000.0,-0.40600000000000014,-28.0,-1000.0,2.04705196658943e-05,1.8416101489404142,0.0,9.926920002400855,normal,0.0
0.028,0.08989999610678165,-2.425501954654031e-05,0.08989999610678163,0.0,8.7,580.0,20000.0,-0.43500000000000016,-29.0,-1000.0,2.4255019546540314e-05,1.831270353489614,0.0,9.91880000307009,normal,0.0
0.029,0.09919999510133541,-2.8579519390697628e-05,0.09919999510133541,0.0,9.299999999999999,600.0,20000.0,-0.4650000000000002,-30.0,-1000.0,2.857951939069763e-05,1.8205705686306952,0.0,9.910100003893218,normal,0.0
0.03,0.10911999388109607,-3.34998391889519e-05,0.10911999388109606,0.0,9.919999999999998,620.0,20000.0,-0.4960000000000002,-31.0,-1000.0,3.34998391889519e-05,1.809510853968302,0.0,9.900800004898665,normal,0.0
0.031,0.11967999240911659,-3.9075518929884396e-05,0.11967999240911656,0.0,10.559999999999999,640.0,20000.0,-0.5280000000000002,-32.0,-1000.0,3.9075518929884396e-05,1.7980909114792114,0.0,9.890880006118904,normal,0.0
0.032,0.13089999064353183,-4.5369938599717926e-05,0.13089999064353183,0.0,11.219999999999999,660.0,20000.0,-0.5610000000000003,-33.0,-1000.0,4.5369938599717926e-05,1.786310741163423,0.0,9.880320007590884,normal,0.0
0.033,0.14279998853708314,-5.24504381819404e-05,0.14279998853708312,0.0,11.899999999999999,680.0,20000.0,-0.5950000000000003,-34.0,-1000.0,5.24504381819404e-05,1.7741702834162913,0.0,9.869100009356469,normal,0.0
0.034,0.15539998603661323,-6.0388437656843355e-05,0.1553999860366132,0.0,12.599999999999998,700.0,20000.0,-0.6300000000000003,-35.0,-1000.0,6.0388437656843355e-05,1.7616695382378178,0.0,9.857200011462917,normal,0.0
0.035,0.1687199830825304,-6.925955700103473e-05,0.1687199830825304,0.0,13.319999999999999,720.0,20000.0,-0.6660000000000004,-36.0,-1000.0,6.925955700103473e-05,1.7488084460233562,0.0,9.844600013963387,normal,0.0
0.036000000000000004,0.18277997960824127,-7.914373618689465e-05,0.18277997960824127,0.0,14.059999999999999,740.0,20000.0,-0.7030000000000004,-37.0,-1000.0,7.914373618689463e-05,1.7355867683543282,0.0,9.83128001691747,normal,0.0
0.037,0.19759997553955125,-9.012535518192971e-05,0.19759997553955122,0.0,14.819999999999999,760.0,20000.0,-0.7410000000000004,-38.0,-1000.0,9.012535518192971e-05,1.722004803253958,0.0,9.817220020391758,normal,0.0
0.038,0.2131999707940315,-0.00010229335394809112,0.2131999707940315,0.0,15.599999999999998,780.0,20000.0,-0.7800000000000005,-39.0,-1000.0,0.00010229335394809114,1.7080620142804421,0.0,9.802400024460448,normal,0.0
0.039,0.22959996528035181,-0.00011574135244101934,0.22959996528035181,0.0,16.4,800.0,20000.0,-0.8200000000000005,-40.0,-1000.0,0.00011574135244101934,1.6937586398523594,0.0,9.786800029205969,normal,0.0
0.04,0.2468199588975784,-0.00013056777060916334,0.2468199588975784,0.0,17.22,820.0,20000.0,-0.8610000000000005,-41.0,-1000.0,0.00013056777060916334,1.6790944415511313,0.0,9.770400034719648,normal,0.0
0.041,0.26487995153443566,-0.00014687594839285907,0.26487995153443566,0.0,18.06,840.0,20000.0,-0.9030000000000006,-42.0,-1000.0,0.00014687594839285907,1.6640694789814021,0.0,9.753180041102421,normal,0.0
0.042,0.28379994306853096,-0.00016477426572327497,0.28379994306853096,0.0,18.919999999999998,860.0,20000.0,-0.9460000000000006,-43.0,-1000.0,0.00016477426572327497,1.6486869111893454,0.0,9.735120048465564,normal,0.0
0.043000000000000003,0.30359993336554175,-0.00018437626252128494,0.30359993336554175,0.0,19.799999999999997,880.0,20000.0,-0.9900000000000007,-44.0,-1000.0,0.00018437626252128497,1.6329437579427222,0.0,9.71620005693147,normal,0.0
0.044,0.324299922278364,-0.00020580075869620635,0.324299922278364,0.0,20.699999999999996,900.0,20000.0,-1.0350000000000006,-45.0,-1000.0,0.00020580075869620635,1.6168413901483625,0.0,9.696400066634459,normal,0.0
0.045,0.3459199096462208,-0.00022917197414442628,0.34591990964622077,0.0,21.619999999999997,920.0,20000.0,-1.0810000000000006,-46.0,-1000.0,0.00022917197414442628,1.600385291433585,0.0,9.675700077721636,normal,0.0
0.046,0.3684798952937308,-0.0002546196487478902,0.3684798952937308,0.0,22.56,940.0,20000.0,-1.1280000000000006,-47.0,-1000.0,0.0002546196487478902,1.583567892008504,0.0,9.65408009035378,normal,0.0
0.047,0.39199987902993494,-0.00028227916237248343,0.39199987902993494,0.0,23.52,960.0,20000.0,-1.1760000000000006,-48.0,-1000.0,0.00028227916237248343,1.5663890726638297,0.0,9.631520104706269,normal,0.0
0.048,0.416499860647281,-0.00031229165486622805,0.416499860647281,0.0,24.5,980.0,20000.0,-1.2250000000000005,-49.0,-1000.0,0.00031229165486622805,1.5488488333995618,0.0,9.608000120970065,normal,0.0
0.049,0.4419998399205651,-0.0003448041460573768,0.4419998399205651,0.0,25.5,1000.0,20000.0,-1.2750000000000006,-50.0,-1000.0,0.0003448041460573768,1.5309471742157008,0.0,9.583500139352719,normal,0.0
0.05,0.46851981660582875,-0.00037996965575226696,0.46851981660582875,0.0,26.52,1020.0,20000.0,-1.3260000000000005,-51.0,-1000.0,0.00037996965575226696,1.5126837374843776,0.0,9.558000160079436,normal,0.0
0.051000000000000004,0.49607979043921135,-0.0004179473237330633,0.49607979043921135,0.0,27.56,1040.0,20000.0,-1.3780000000000006,-52.0,-1000.0,0.0004179473237330633,1.4940578675545,0.0,9.531480183394171,normal,0.0
0.052000000000000005,0.5246997611357564,-0.00045890252975531955,0.5246997611357564,0.0,28.619999999999997,1060.0,20000.0,-1.4310000000000005,-53.0,-1000.0,0.00045890252975531955,1.4750619946361814,0.0,9.503920209560789,normal,0.0
0.053,0.5543997283881712,-0.000503007013545269,0.5543997283881712,0.0,29.699999999999996,1080.0,20000.0,-1.4850000000000005,-54.0,-1000.0,0.000503007013545269,1.4557042845657557,0.0,9.475300238864243,normal,0.0
0.054,0.5851996918655384,-0.0005504389947969788,0.5851996918655384,0.0,30.799999999999997,1100.0,20000.0,-1.5400000000000005,-55.0,-1000.0,0.0005504389947969788,1.4359843201107103,0.0,9.445600271611829,normal,0.0
0.055,0.6171196512119798,-0.0006013832931692886,0.6171196512119798,0.0,31.919999999999998,1120.0,20000.0,-1.5960000000000005,-56.0,-1000.0,0.0006013832931692886,1.415902101271044,0.0,9.414800308134462,normal,0.0
0.056,0.6501796060452693,-0.000656031448282433,0.6501796060452693,0.0,33.059999999999995,1140.0,20000.0,-1.6530000000000005,-57.0,-1000.0,0.000656031448282433,1.3954575684421133,0.0,9.38288034878802,normal,0.0
0.057,0.6843995559553971,-0.0007145818397144996,0.6843995559553971,0.0,34.21999999999999,1160.0,20000.0,-1.7110000000000005,-58.0,-1000.0,0.0007145818397144996,1.3746510196471413,0.0,9.349820393954731,normal,0.0
0.058,0.7197995005030816,-0.0007772398069976318,0.7197995005030816,0.0,35.39999999999999,1180.0,20000.0,-1.7700000000000005,-59.0,-1000.0,0.0007772398069976318,1.3534819184443254,0.0,9.315600444044604,normal,0.0
0.059000000000000004,0.7563994392182287,-0.0008442177696138673,0.7563994392182287,0.0,36.599999999999994,1200.0,20000.0,-1.8300000000000005,-60.0,-1000.0,0.0008442177696138673,1.3319499668104409,0.0,9.28020049949692,normal,0.0
0.06,0.7942193715983391,-0.0009157353469907951,0.7942193715983391,0.0,37.81999999999999,1220.0,20000.0,-1.8910000000000005,-61.0,-1000.0,0.0009157353469907951,1.3100547475129756,0.0,9.243600560781772,normal,0.0
0.061,0.833279297106861,-0.0009920194784968318,0.833279297106861,0.0,39.059999999999995,1240.0,20000.0,-1.9530000000000005,-62.0,-1000.0,0.0009920194784968318,1.2877967969937316,0.0,9.20578062840166,normal,0.0
0.062,0.8735992151714878,-0.0010733045434362454,0.8735992151714878,0.0,40.31999999999999,1260.0,20000.0,-2.0160000000000005,-63.0,-1000.0,0.0010733045434362454,1.26517599604342,0.0,9.166720702893139,normal,0.0
0.063,0.9151991251824002,-0.0011598324810437966,0.9151991251824002,0.0,41.599999999999994,1280.0,20000.0,-2.0800000000000005,-64.0,-1000.0,0.0011598324810437966,1.2421922850573952,0.0,9.126400784828512,normal,0.0
0.064,0.9580990264904518,-0.0012518529104790454,0.9580990264904518,0.0,42.89999999999999,1300.0,20000.0,-2.1450000000000005,-65.0,-1000.0,0.0012518529104790454,1.218845664035658,0.0,9.0848008748176,normal,0.0
0.065,1.0023189184052965,-0.0013496232508202713,1.0023189184052965,0.0,44.21999999999999,1320.0,20000.0,-2.2110000000000003,-66.0,-1000.0,0.0013496232508202713,1.1907348664033481,0.0,9.041900973509549,normal,0.0
0.066,1.047878800193458,-0.0014534088410580667,1.047878800193458,0.0,45.559999999999995,1340.0,20000.0,-2.2780000000000005,-67.0,-1000.0,0.0014534088410580667,1.1666893666096239,0.0,8.997681081594703,normal,0.0
0.067,1.0947986710763398,-0.0015634830600884703,1.0947986710763398,0.0,46.919999999999995,1360.0,20000.0,-2.3460000000000005,-68.0,-1000.0,0.0015634830600884705,1.1422790494315538,0.0,8.952121199806541,normal,0.0
0.068,1.1430985302281744,-0.0016801274467056779,1.1430985302281744,0.0,48.3,1380.0,20000.0,-2.4150000000000005,-69.0,-1000.0,0.0016801274467056777,1.1175035572412697,0.0,8.90520132892366,normal,0.0
0.069,1.192798376773912,-0.0018036318195943746,1.192798376773912,0.0,49.699999999999996,1400.0,20000.0,-2.4850000000000003,-70.0,-1000.0,0.0018036318195943746,1.0923629496434162,0.0,8.856901469771826,normal,0.0
0.07,1.243918209787047,-0.0019342943973215232,1.243918209787047,0.0,51.12,1420.0,20000.0,-2.5560000000000005,-71.0,-1000.0,0.0019342943973215234,1.071121760157738,0.0,8.807201623226089,normal,0.0
0.07100000000000001,1.2964780282873798,-0.002072421918327782,1.2964780282873798,0.0,52.559999999999995,1440.0,20000.0,-2.6280000000000006,-72.0,-1000.0,0.002072421918327782,1.0452964000887093,0.0,8.756081790212953,normal,0.0
0.07200000000000001,1.3504978312387186,-0.0022183297609182644,1.3504978312387186,0.0,54.019999999999996,1460.0,20000.0,-2.7010000000000005,-73.0,-1000.0,0.0022183297609182644,1.0191067590771379,0.0,8.70352197171262,normal,0.0
0.073,1.4059976175465119,-0.002372342063252933,1.4059976175465119,0.0,55.49999999999999,1480.0,20000.0,-2.7750000000000004,-74.0,-1000.0,0.002372342063252933,0.992564758051979,0.0,8.64950216876128,normal,0.0
0.074,1.4629973860554186,-0.0025347918433363363,1.4629973860554186,0.0,56.99999999999999,1500.0,20000.0,-2.8500000000000005,-75.0,-1000.0,0.0025347918433363363,0.9652985236344789,0.0,8.594002382453489,normal,0.0
0.075,1.5215171355468096,-0.002706021119006869,1.5215171355468096,0.0,58.519999999999996,1520.0,20000.0,-2.9260000000000006,-76.0,-1000.0,0.002706021119006869,0.9380447692340614,0.0,8.537002613944582,normal,0.0
0.076,1.5815768647362027,-0.0028863810279253755,1.5815768647362027,0.0,60.059999999999995,1540.0,20000.0,-3.0030000000000006,-77.0,-1000.0,0.0028863810279253755,0.9104245285192447,0.0,8.478482864453191,normal,0.0
0.077,1.6431965722706297,-0.00307623194756313,1.6431965722706297,0.0,61.62,1560.0,20000.0,-3.0810000000000004,-78.0,-1000.0,0.0030762319475631295,0.8828099132873617,0.0,8.418423135263797,normal,0.0
0.078,1.7063962567259323,-0.0032759436151892606,1.7063962567259323,0.0,63.199999999999996,1580.0,20000.0,-3.1600000000000006,-79.0,-1000.0,0.003275943615189261,0.8544583688738001,0.0,8.356803427729371,normal,0.0
0.079,1.77119591660399,-0.0034858952478574283,1.77119591660399,0.0,64.8,1600.0,20000.0,-3.2400000000000007,-80.0,-1000.0,0.0034858952478574283,0.8257405765644185,0.0,8.293603743274067,normal,0.0
0.08,1.837615550329875,-0.0037064756623918426,1.837615550329875,0.0,66.42,1620.0,20000.0,-3.3210000000000006,-81.0,-1000.0,0.0037064756623918426,0.7966577880567569,0.0,8.22880408339601,normal,0.0
