tag,seed,step,progress,v_ratio_cap,v_ratio_exec,alpha,d_target,d_chosen,kappa,v_exec,omega_exec,max_vel_cap_phys,contour_error,reward
t2_square,1042,11,0.18974358974358937,0.053109196446644726,0.053109196446644726,0.731125389847008,10.00000000000002,10.00000000000002,0.10485920092144042,53.109196446644724,2.0106192982974678,53.109196446644724,0.18787794422344206,-4.226040535509771
t2_square,1042,12,0.21025641025640984,0.05128530853779358,0.05128530853779358,0.8135487482641839,10.00000000000002,10.00000000000002,0.11644939316735826,51.28530853779358,2.261946710584651,51.28530853779358,0.24511629100551352,-20.0
t2_square,1042,13,0.22564102564102523,0.04997417638349647,0.04997417638349647,0.8874631957428978,10.00000000000002,10.00000000000002,0.12572764150802798,49.97417638349647,2.4818581963359367,49.97417638349647,0.3131982644618281,-20.0
t2_square,1042,14,0.2461538461538457,0.04733569217778244,0.04733569217778244,0.9529400272621018,10.00000000000002,10.00000000000002,0.13273573665912236,47.33569217778244,2.670353755551324,47.33569217778244,0.3901836923451497,-20.0
t2_square,1042,15,0.26153846153846105,0.045735394420586224,0.045735394420586224,1.0074054772085388,10.00000000000002,10.00000000000002,0.13738024240055585,45.735394420586225,2.827433388230814,45.735394420586225,0.4772942201721546,-20.0
t2_square,1042,16,0.2820512820512816,0.04482237850225555,0.04482237850225555,1.0530095167104063,10.00000000000002,10.00000000000002,0.1401786494771781,44.82237850225555,2.9530970943744057,44.82237850225555,0.5756208217866953,-20.0
t2_square,1042,17,0.30256410256410204,0.04439231160232909,0.04439231160232909,1.0913407775827544,10.00000000000002,10.00000000000002,0.14153669155940804,44.392311602329094,3.0473448739820994,44.392311602329094,0.6861550870574241,-20.0
t2_square,1042,18,0.2962002715189752,0.04431579311416171,0.04431579311416171,1.1236528158814263,10.00000000000002,10.00000000000002,0.14178107960745512,44.31579311416171,3.1101767270538954,44.31579311416171,0.8097922084166805,-20.0
t3_low,2042,1,0.001666666584419961,1.0,0.005,0.0,3.3333333333333397,3.3333333333333397,0.0,5.0,0.031415926535897934,1000.0,1.570796300956333e-05,-7.700585572993014
t3_low,2042,2,0.00666666263657871,0.524162897523071,0.015,-0.0003165154598105957,8.33333333333334,6.666666666666679,4.747731184986069e-05,15.0,0.0942477796076938,524.162897523071,0.00020420347261491215,-3.2261966125977426
t3_low,2042,3,0.016666613288597275,0.200377602174475,0.03,0.01912785261881078,10.00000000000002,10.00000000000002,0.0019514159689651533,30.0,0.1884955592153876,200.37760217447502,0.0011466797183787812,-1.342006951547386
