step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
77,0.077,20.82779375,0.0,18.0,231.25,-15625.0,0.0,0.0020694843750000518,0.18,0.25,True,0.8277937500000004,18.0
78,0.078,20.845793750000002,0.0,18.0,215.625,-15625.0,0.0,0.0021144843750000547,0.18,0.25,True,0.8457937500000005,18.0
79,0.079,20.86379375,0.0,18.0,200.0,-15625.0,0.0,0.0021594843750000485,0.18,0.25,True,0.8637937500000005,18.0
80,0.08,20.88179375,0.0,18.0,184.375,-15625.0,0.0,0.002204484375000051,0.18,0.25,True,0.8817937500000005,18.0
81,0.081,20.89979375,0.0,18.0,168.75,-15625.0,0.0,0.002249484375000054,0.18,0.25,True,0.8997937500000005,18.0
82,0.082,20.91779375,0.0,18.0,153.125,-15625.0,0.0,0.002294484375000057,0.18,0.25,True,0.9177937500000005,18.0
83,0.083,20.935793750000002,0.0,18.0,137.5,-15625.0,0.0,0.0023394843750000594,0.18,0.25,True,0.9357937500000005,18.0
84,0.084,20.95379375,0.0,18.0,121.875,-15625.0,0.0,0.0023844843750000532,0.18,0.25,True,0.9537937500000006,18.0
85,0.085,20.97179375,0.0,18.0,106.25,-15625.0,0.0,0.002429484375000056,0.18,0.25,True,0.9717937500000006,18.0
86,0.08600000000000001,20.98979375,0.0,18.0,90.625,-15625.0,0.0,0.0024744843750000587,0.18,0.25,True,0.9897937500000006,18.0
87,0.08700000000000001,21.00779375,0.0,18.0,75.0,-15625.0,0.0,0.0025194843750000616,0.18,0.25,True,1.0077937500000005,18.0
88,0.088,21.025793750000002,0.0,18.0,59.375,-15625.0,0.0,0.0025644843750000645,0.18,0.25,True,1.0257937500000005,18.0
89,0.089,21.04379375,0.0,18.0,43.75,-15625.0,0.0,0.0026094843750000584,0.18,0.25,True,1.0437937500000005,18.0
90,0.09,21.06179375,0.0,18.0,28.125,-15625.0,0.0,0.002654484375000061,0.18,0.25,True,1.0617937500000005,18.0
91,0.091,21.07979375,0.0,18.0,12.5,-15625.0,0.0,0.002699484375000064,0.18,0.25,True,1.0797937500000006,18.0
92,0.092,21.09779375,0.0,18.0,0.0,-12500.0,0.0,0.0027444843750000663,0.18,0.2,True,1.0977937500000006,18.0
93,0.093,21.11579375,0.0,18.0,0.0,0.0,0.0,0.0027894843750000693,0.18,0.0,False,1.1157937500000006,18.0
94,0.094,21.133793750000002,0.0,18.0,0.0,0.0,0.0,0.002834484375000072,0.18,0.0,False,1.1337937500000006,18.0
95,0.095,21.15179375,0.0,18.0,0.0,0.0,0.0,0.002879484375000066,0.18,0.0,False,1.1517937500000006,18.0
96,0.096,21.16979375,0.0,18.0,0.0,0.0,0.0,0.0029244843750000685,0.18,0.0,False,1.1697937500000006,18.0
97,0.097,21.18779375,0.0,18.0,0.0,0.0,0.0,0.0029694843750000715,0.18,0.0,False,1.1877937500000006,18.0
98,0.098,21.20579375,0.0,18.0,0.0,0.0,0.0,0.003014484375000074,0.18,0.0,False,1.2057937500000007,18.0
99,0.099,21.223793750000002,0.0,18.0,0.0,0.0,0.0,0.003059484375000077,0.18,0.0,False,1.2237937500000007,18.0
100,0.1,21.24179375,0.0,18.0,0.0,0.0,0.0,0.0031044843750000707,0.18,0.0,False,1.2417937500000007,18.0
101,0.101,21.25979375,0.0,18.0,0.0,0.0,0.0,0.0031494843750000737,0.18,0.0,False,1.2597937500000007,18.0
102,0.10200000000000001,21.27779375,0.0,18.0,0.0,0.0,0.0,0.003194484375000076,0.18,0.0,False,1.2777937500000007,18.0
103,0.10300000000000001,21.29579375,0.0,18.0,0.0,0.0,0.0,0.003239484375000079,0.18,0.0,False,1.2957937500000007,18.0
104,0.10400000000000001,21.313793750000002,0.0,18.0,0.0,0.0,0.0,0.0032844843750000816,0.18,0.0,False,1.3137937500000008,18.0
105,0.105,21.33179375,0.0,18.0,0.0,0.0,0.0,0.0033294843750000754,0.18,0.0,False,1.3317937500000008,18.0
106,0.106,21.34979375,0.0,18.0,0.0,0.0,0.0,0.0033744843750000784,0.18,0.0,False,1.3497937500000008,18.0
107,0.107,21.36779375,0.0,18.0,0.0,0.0,0.0,0.0034194843750000813,0.18,0.0,False,1.3677937500000008,18.0
108,0.108,21.38579375,0.0,18.0,0.0,0.0,0.0,0.003464484375000084,0.18,0.0,False,1.3857937500000008,18.0
109,0.109,21.403793750000002,0.0,18.0,0.0,0.0,0.0,0.0035094843750000868,0.18,0.0,False,1.4037937500000008,18.0
110,0.11,21.421793750000003,0.0,18.0,0.0,0.0,0.0,0.0035544843750000893,0.18,0.0,False,1.4217937500000009,18.0
111,0.111,21.43979375,0.0,18.0,0.0,0.0,0.0,0.003599484375000083,0.18,0.0,False,1.4397937500000009,18.0
112,0.112,21.45779375,0.0,18.0,0.0,0.0,0.0,0.003644484375000086,0.18,0.0,False,1.4577937500000009,18.0
113,0.113,21.47579375,0.0,18.0,0.0,0.0,0.0,0.003689484375000089,0.18,0.0,False,1.475793750000001,18.0
114,0.114,21.493793750000002,0.0,18.0,0.0,0.0,0.0,0.0037344843750000915,0.18,0.0,False,1.493793750000001,18.0
115,0.115,21.511793750000002,0.0,18.0,0.0,0.0,0.0,0.0037794843750000944,0.18,0.0,False,1.511793750000001,18.0
116,0.116,21.52979375,0.0,18.0,0.0,0.0,0.0,0.0038244843750000882,0.18,0.0,False,1.529793750000001,18.0
117,0.117,21.54779375,0.0,18.0,0.0,0.0,0.0,0.0038694843750000907,0.18,0.0,False,1.547793750000001,18.0
118,0.11800000000000001,21.56579375,0.0,18.0,0.0,0.0,0.0,0.003914484375000094,0.18,0.0,False,1.565793750000001,18.0
119,0.11900000000000001,21.58379375,0.0,18.0,0.0,0.0,0.0,0.003959484375000096,0.18,0.0,False,1.583793750000001,18.0
120,0.12,21.601793750000002,0.0,18.0,0.0,0.0,0.0,0.0040044843750000995,0.18,0.0,False,1.601793750000001,18.0
121,0.121,21.61979375,0.0,18.0,0.0,0.0,0.0,0.004049484375000093,0.18,0.0,False,1.619793750000001,18.0
122,0.122,21.63779375,0.0,18.0,0.0,0.0,0.0,0.004094484375000096,0.18,0.0,False,1.637793750000001,18.0
123,0.123,21.65579375,0.0,18.0,0.0,0.0,0.0,0.004139484375000098,0.18,0.0,False,1.655793750000001,18.0
124,0.124,21.67379375,0.0,18.0,0.0,0.0,0.0,0.004184484375000102,0.18,0.0,False,1.673793750000001,18.0
125,0.125,21.691793750000002,0.0,18.0,0.0,0.0,0.0,0.004229484375000104,0.18,0.0,False,1.691793750000001,18.0
126,0.126,21.709793750000003,0.0,18.0,0.0,0.0,0.0,0.004274484375000107,0.18,0.0,False,1.7097937500000011,18.0
127,0.127,21.72779375,0.0,18.0,0.0,0.0,0.0,0.004319484375000101,0.18,0.0,False,1.7277937500000011,18.0
128,0.128,21.74579375,0.0,18.0,0.0,0.0,0.0,0.004364484375000103,0.18,0.0,False,1.7457937500000011,18.0
129,0.129,21.76379375,0.0,18.0,0.0,0.0,0.0,0.0044094843750001065,0.18,0.0,False,1.7637937500000012,18.0
130,0.13,21.781793750000002,0.0,18.0,0.0,0.0,0.0,0.004454484375000109,0.18,0.0,False,1.7817937500000012,18.0
131,0.131,21.799793750000003,0.0,18.0,0.0,0.0,0.0,0.0044994843750001115,0.18,0.0,False,1.7997937500000012,18.0
132,0.132,21.81779375,0.0,18.0,0.0,0.0,0.0,0.004544484375000105,0.18,0.0,False,1.8177937500000012,18.0
133,0.133,21.83579375,0.0,18.0,0.0,0.0,0.0,0.004589484375000109,0.18,0.0,False,1.8357937500000012,18.0
134,0.134,21.85379375,0.0,18.0,0.0,0.0,0.0,0.004634484375000111,0.18,0.0,False,1.8537937500000012,18.0
135,0.135,21.871793750000002,0.0,18.0,0.0,0.0,0.0,0.004679484375000114,0.18,0.0,False,1.8717937500000013,18.0
136,0.136,21.889793750000003,0.0,18.0,0.0,0.0,0.0,0.004724484375000117,0.18,0.0,False,1.8897937500000013,18.0
137,0.137,21.90779375,0.0,18.0,0.0,0.0,0.0,0.004769484375000111,0.18,0.0,False,1.9077937500000013,18.0
138,0.138,21.92579375,0.0,18.0,0.0,0.0,0.0,0.004814484375000113,0.18,0.0,False,1.9257937500000013,18.0
139,0.139,21.94379375,0.0,18.0,0.0,0.0,0.0,0.004859484375000116,0.18,0.0,False,1.9437937500000013,18.0
140,0.14,21.961793750000002,0.0,18.0,0.0,0.0,0.0,0.004904484375000118,0.18,0.0,False,1.9617937500000013,18.0
141,0.14100000000000001,21.979793750000002,0.0,18.0,0.0,0.0,0.0,0.004949484375000122,0.18,0.0,False,1.9797937500000014,18.0
142,0.14200000000000002,21.99779375,0.0,18.0,0.0,0.0,0.0,0.004994484375000116,0.18,0.0,False,1.9977937500000014,18.0
143,0.14300000000000002,22.01579375,0.0,18.0,0.0,0.0,0.0,0.005039484375000118,0.18,0.0,False,2.015793750000001,18.0
144,0.14400000000000002,22.03379375,0.0,18.0,0.0,0.0,0.0,0.005084484375000121,0.18,0.0,False,2.033793750000001,18.0
145,0.145,22.05179375,0.0,18.0,0.0,0.0,0.0,0.005129484375000124,0.18,0.0,False,2.0517937500000007,18.0
146,0.146,22.069793750000002,0.0,18.0,0.0,0.0,0.0,0.0051744843750001265,0.18,0.0,False,2.0697937500000005,18.0
147,0.147,22.08779375,0.0,18.0,0.0,0.0,0.0,0.00521948437500012,0.18,0.0,False,2.0877937500000003,18.0
148,0.148,22.10579375,0.0,18.0,0.0,0.0,0.0,0.005264484375000123,0.18,0.0,False,2.10579375,18.0
149,0.149,22.12379375,0.0,18.0,0.0,0.0,0.0,0.005309484375000126,0.18,0.0,False,2.12379375,18.0
150,0.15,22.141793749999998,0.0,18.0,0.0,0.0,0.0,0.00535448437500012,0.18,0.0,False,2.1417937499999997,18.0
151,0.151,22.15979375,0.0,18.0,0.0,0.0,0.0,0.0053994843750001225,0.18,0.0,False,2.1597937499999995,18.0
152,0.152,22.17779375,0.0,18.0,0.0,0.0,0.0,0.005444484375000125,0.18,0.0,False,2.1777937499999993,18.0
153,0.153,22.19579375,0.0,18.0,0.0,0.0,0.0,0.0054894843750001275,0.18,0.0,False,2.195793749999999,18.0
154,0.154,22.213793749999997,0.0,18.0,0.0,0.0,0.0,0.005534484375000122,0.18,0.0,False,2.213793749999999,18.0
155,0.155,22.231793749999998,0.0,18.0,0.0,0.0,0.0,0.005579484375000125,0.18,0.0,False,2.2317937499999987,18.0
156,0.156,22.24979375,0.0,18.0,0.0,0.0,0.0,0.005624484375000127,0.18,0.0,False,2.2497937499999985,18.0
157,0.157,22.26779375,0.0,18.0,0.0,0.0,0.0,0.00566948437500013,0.18,0.0,False,2.2677937499999983,18.0
158,0.158,22.285793749999996,0.0,18.0,0.0,0.0,0.0,0.0057144843750001235,0.18,0.0,False,2.285793749999998,18.0
159,0.159,22.303793749999997,0.0,18.0,0.0,0.0,0.0,0.005759484375000127,0.18,0.0,False,2.303793749999998,18.0
160,0.16,22.321793749999998,0.0,18.0,0.0,0.0,0.0,0.005804484375000129,0.18,0.0,False,2.3217937499999977,18.0
161,0.161,22.33979375,0.0,18.0,0.0,0.0,0.0,0.005849484375000132,0.18,0.0,False,2.3397937499999975,18.0
162,0.162,22.35779375,0.0,18.0,0.0,0.0,0.0,0.005894484375000135,0.18,0.0,False,2.3577937499999972,18.0
163,0.163,22.375793749999996,0.0,18.0,0.0,0.0,0.0,0.005939484375000129,0.18,0.0,False,2.375793749999997,18.0
164,0.164,22.393793749999997,0.0,18.0,0.0,0.0,0.0,0.005984484375000132,0.18,0.0,False,2.393793749999997,18.0
165,0.165,22.411793749999998,0.0,18.0,0.0,0.0,0.0,0.006029484375000134,0.18,0.0,False,2.4117937499999966,18.0
166,0.166,22.429793749999995,0.0,18.0,0.0,0.0,0.0,0.006074484375000128,0.18,0.0,False,2.4297937499999964,18.0
167,0.167,22.447793749999995,0.0,18.0,0.0,0.0,0.0,0.006119484375000131,0.18,0.0,False,2.447793749999996,18.0
168,0.168,22.465793749999996,0.0,18.0,0.0,0.0,0.0,0.006164484375000134,0.18,0.0,False,2.465793749999996,18.0
169,0.169,22.483793749999997,0.0,18.0,0.0,0.0,0.0,0.006209484375000136,0.18,0.0,False,2.483793749999996,18.0
170,0.17,22.501793749999997,0.0,18.0,0.0,0.0,0.0,0.006254484375000139,0.18,0.0,False,2.5017937499999956,18.0
171,0.171,22.519793749999995,0.0,18.0,0.0,0.0,0.0,0.006299484375000133,0.18,0.0,False,2.5197937499999954,18.0
172,0.17200000000000001,22.537793749999995,0.0,18.0,0.0,0.0,0.0,0.006344484375000136,0.18,0.0,False,2.537793749999995,18.0
173,0.17300000000000001,22.555793749999996,0.0,18.0,0.0,0.0,0.0,0.0063894843750001385,0.18,0.0,False,2.555793749999995,18.0
174,0.17400000000000002,22.573793749999993,0.0,18.0,0.0,0.0,0.0,0.006434484375000132,0.18,0.0,False,2.5737937499999948,18.0
175,0.17500000000000002,22.591793749999994,0.0,18.0,0.0,0.0,0.0,0.006479484375000135,0.18,0.0,False,2.5917937499999946,18.0
176,0.176,22.609793749999994,0.0,18.0,0.0,0.0,0.0,0.006524484375000138,0.18,0.0,False,2.6097937499999944,18.0
