step,time,x,y,v,a,j,contour_error,progress,v_over_vmax,abs_j_over_jmax,active_accdec_window,s_smoothed,v_cap
27,0.027,49.9998129666478,0.057093443648002756,5.90625,421.875,15625.0,6.938893903907228e-18,0.00018173537569332094,0.0590625,0.25,True,0.05709375,18.0
28,0.028,49.99979218516423,0.06343715960889194,6.34375,437.5,15625.0,1.3877787807814457e-17,0.00020192819521480096,0.0634375,0.25,True,0.0634375,18.0
29,0.029,49.999769919288966,0.07023399813841608,6.796875,453.125,15625.0,1.3877787807814457e-17,0.0002235633589878154,0.06796875,0.25,True,0.07023437499999999,18.0
30,0.03,49.999746117836104,0.07749958415273499,7.265625,468.75,15625.0,0.0,0.00024669060302103766,0.07265625,0.25,True,0.07749999999999999,18.0
31,0.031,49.99972072961971,0.08524954256800849,7.75,484.375,15625.0,0.0,0.0002713596633231414,0.0775,0.25,True,0.08524999999999999,18.0
32,0.032,49.99969370345388,0.09349949830039642,8.25,500.0,15625.0,1.3877787807814457e-17,0.0002976202759028003,0.0825,0.25,True,0.0935,18.0
33,0.033,49.99966498815268,0.10226507626605859,8.765625,515.625,15625.0,0.0,0.00032552217676868787,0.08765625,0.25,True,0.102265625,18.0
34,0.034,49.999634532530195,0.11156190138115481,9.296875,531.25,15625.0,0.0,0.00035511510192947764,0.09296875,0.25,True,0.1115625,18.0
35,0.035,49.999602285400506,0.12140559856184495,9.84375,546.875,15625.0,0.0,0.00038644878739384333,0.0984375,0.25,True,0.12140625,18.0
36,0.036000000000000004,49.999568195577694,0.1318117927242888,10.40625,562.5,15625.0,0.0,0.00041957296917045846,0.1040625,0.25,True,0.1318125,18.0
37,0.037,49.99953221187583,0.1427961087846462,10.984375,578.125,15625.0,2.7755575615628914e-17,0.00045453738326799663,0.10984375,0.25,True,0.142796875,18.0
38,0.038,49.99949428310901,0.15437417165907696,11.578125,593.75,15625.0,2.7755575615628914e-17,0.0004913917656951316,0.11578125,0.25,True,0.15437499999999998,18.0
