step,x,y,velocity
50,0.3327598753,-0.0002645002,20.3000000000
51,0.3539198569,-0.0002924186,21.1600000000
52,0.3759598363,-0.0003225740,22.0400000000
53,0.3988998133,-0.0003550433,22.9400000000
54,0.4227597876,-0.0003900398,23.8600000000
55,0.4475597594,-0.0004274539,24.8000000000
56,0.4733197281,-0.0004676453,25.7600000000
57,0.5000596934,-0.0005106883,26.7400000000
58,0.5277996555,-0.0005565493,27.7400000000
59,0.5565596137,-0.0006055718,28.7600000000
60,0.5863595678,-0.0006578642,29.8000000000
61,0.6172195173,-0.0007136981,30.8600000000
62,0.6491594618,-0.0007732688,31.9400000000
63,0.6821994028,-0.0008356757,33.0400000000
64,0.7163593373,-0.0009025763,34.1600000000
65,0.7516592665,-0.0009732981,35.3000000000
66,0.7881191901,-0.0010479528,36.4600000000
67,0.8257591084,-0.0011263507,37.6400000000
68,0.8645590204,-0.0012089750,38.8000000000
69,0.9045389241,-0.0012967248,39.9800000000
70,0.9457188220,-0.0013884228,41.1800000000
71,0.9881187162,-0.0014831808,42.4000000000
72,1.0317586013,-0.0015833240,43.6400000000
73,1.0766184780,-0.0016885049,44.8600000000
74,1.1226783460,-0.0017987432,46.0600000000
75,1.1699582049,-0.0019142763,47.2800000000
76,1.2184380543,-0.0020351137,48.4800000000
77,1.2681378987,-0.0021594730,49.7000000000
78,1.3190777312,-0.0022901002,50.9400000000
79,1.3712375562,-0.0024252226,52.1600000000
80,1.4245973759,-0.0025639141,53.3600000000
81,1.4791371845,-0.0027084059,54.5400000000
82,1.5342800915,-0.0028555613,55.1431033284
83,1.5894229868,-0.0030070348,55.1431033284
84,1.6445658829,-0.0031582093,55.1431033284
85,1.6997087809,-0.0033086905,55.1431033284
86,1.7548516782,-0.0034594226,55.1431033284
87,1.8099945665,-0.0036134277,55.1431033284
88,1.8651374883,-0.0037549057,55.1431033284
89,1.9202803941,-0.0039025080,55.1431033284
90,1.9754232836,-0.0040560722,55.1431033284
91,2.0305661630,-0.0042132435,55.1431033284
92,2.0857090269,-0.0043757432,55.1431033284
93,2.1408518789,-0.0045422260,55.1431033284
94,2.1959947322,-0.0047082730,55.1431033284
95,2.2511375911,-0.0048724561,55.1431033284
96,2.3062804337,-0.0050420195,55.1431033284
97,2.3614232671,-0.0052145557,55.1431033284
98,2.4165660876,-0.0053911872,55.1431033284
99,2.4717088942,-0.0055720946,55.1431033284
100,2.5268517170,-0.0057479915,55.1431033284
101,2.5819945128,-0.0059321388,55.1431033284
102,2.6371372959,-0.0061200749,55.1431033284
103,2.6922801002,-0.0063016641,55.1431033284
104,2.7474229101,-0.0064815477,55.1431033284
105,2.8025657336,-0.0066572420,55.1431033284
106,2.8577085190,-0.0068444869,55.1431033284
107,2.9128512967,-0.0070339764,55.1431033284
108,2.9679940682,-0.0072252893,55.1431033284
109,3.0231368357,-0.0074177305,55.1431033284
110,3.0782796206,-0.0076051334,55.1431033284
111,3.1334223740,-0.0078015775,55.1431033284
112,3.1885651290,-0.0079975857,55.1431033284
113,3.2437078586,-0.0082006143,55.1431033284
114,3.2988505795,-0.0084059645,55.1431033284
115,3.3539932971,-0.0086122425,55.1431033284
116,3.4091359954,-0.0088235767,55.1431033284
117,3.4642786719,-0.0090405393,55.1431033284
118,3.5194213930,-0.0092458607,55.1431033284
119,3.5745641176,-0.0094502334,55.1431033284
120,3.6297068242,-0.0096594125,55.1431033284
121,3.6848495055,-0.0098751496,55.1431033284
122,3.7124209883,-0.0099779125,27.5716743046
123,3.7399924709,-0.0100807222,27.5716743046
124,3.7675639594,-0.0101819548,27.5716743046
125,3.7951354432,-0.0102844406,27.5716743046
126,3.8227068986,-0.0103943062,27.5716743046
127,3.8502783498,-0.0105052362,27.5716743046
128,3.8778497779,-0.0106217383,27.5716743046
129,3.9054212018,-0.0107392454,27.5716743046
130,3.9329926226,-0.0108574964,27.5716743046
131,3.9605640810,-0.0109665907,27.5716743046
