step,x,y,velocity
92,-53.8598940646,20.0751308545,75.8800000000
93,-53.7845635323,20.0911742738,77.0200000000
94,-53.7079822310,20.1067037262,78.1400000000
95,-53.6301723684,20.1216904832,79.2400000000
96,-53.5511244860,20.1361529135,80.3600000000
97,-53.4709024276,20.1505289818,81.5000000000
98,-53.3894627365,20.1644444809,82.6200000000
99,-53.3069126970,20.1783918596,83.7200000000
100,-53.2232726001,20.1923694915,84.8000000000
101,-53.1385170186,20.2060965087,85.8600000000
102,-53.0526985954,20.2197642903,86.9000000000
103,-52.9657337945,20.2326890647,87.9200000000
104,-52.8776344224,20.2447417421,88.9200000000
105,-52.7884864308,20.2563454312,89.9000000000
106,-52.6982816802,20.2672377481,90.8600000000
107,-52.6070789059,20.2776921230,91.8000000000
108,-52.5148935368,20.2876347648,92.7200000000
109,-52.4217400194,20.2969689283,93.6200000000
110,-52.3276730502,20.3060052600,94.5000000000
111,-52.2326993031,20.3145794643,95.3600000000
112,-52.1368466951,20.3227475444,96.2000000000
113,-52.0401293372,20.3304047682,97.0200000000
114,-51.9425763143,20.3376269643,97.8200000000
115,-51.8442482597,20.3449450027,98.6000000000
116,-51.7451119199,20.3516080144,99.3600000000
117,-51.6453688302,20.3587715373,100.0000000000
118,-51.5455946984,20.3654888756,100.0000000000
119,-51.4457750133,20.3714914142,100.0000000000
120,-51.3459286886,20.3770332045,100.0000000000
121,-51.2460586152,20.3821291286,100.0000000000
122,-51.1461766711,20.3869868277,100.0000000000
123,-51.0462752481,20.3914259352,100.0000000000
124,-50.9463394035,20.3950074093,100.0000000000
125,-50.8463924159,20.3982631231,100.0000000000
126,-50.7464227784,20.4007271821,100.0000000000
127,-50.6464532951,20.4031974880,100.0000000000
128,-50.5464725243,20.4051584737,100.0000000000
129,-50.4464850684,20.4067423514,100.0000000000
130,-50.3464916116,20.4078862915,100.0000000000
131,-50.2464941617,20.4086004360,100.0000000000
