step,x,y,velocity
275,16.4022206278,-0.0436735993,38.5004461753
276,16.4406606339,-0.0438575506,38.4404461753
277,16.4790203433,-0.0440952966,38.3604461753
278,16.5172806437,-0.0442009196,38.2604461753
279,16.5554206938,-0.0443747274,38.1404461753
280,16.5934611026,-0.0444280721,38.0404461753
281,16.6314213220,-0.0445592861,37.9604461753
282,16.6693217636,-0.0445779219,37.9004461753
283,16.7071820698,-0.0446808647,37.8604461753
284,16.7449821342,-0.0448507652,37.8004461753
285,16.7827025240,-0.0449159495,37.7204461753
286,16.8203627141,-0.0450548288,37.6604461753
287,16.8579826424,-0.0452522221,37.6204461753
288,16.8955830270,-0.0453203030,37.6004461753
289,16.9331434562,-0.0452846324,37.5604461753
290,16.9706838588,-0.0453418079,37.5404461753
291,17.0082240754,-0.0454731176,37.5404461753
292,17.0457445189,-0.0454871915,37.5204461753
293,17.0832249046,-0.0455545438,37.4804461753
294,17.1206853320,-0.0455171229,37.4604461753
295,17.1581457378,-0.0455721726,37.4604461753
296,17.1955859623,-0.0457010077,37.4404461753
297,17.2330260684,-0.0458605864,37.4404461753
298,17.2704464986,-0.0458951335,37.4204461753
299,17.3078267783,-0.0460066925,37.3804461753
300,17.3451468250,-0.0461793624,37.3204461753
301,17.3824271195,-0.0462857283,37.2804461753
302,17.4196471880,-0.0464533968,37.2204461753
303,17.4567876148,-0.0464912884,37.1404461753
304,17.4938678913,-0.0466034907,37.0804461753
305,17.5308683368,-0.0465965549,37.0004461753
306,17.5678086426,-0.0464947058,36.9404461753
307,17.6046690887,-0.0464948430,36.8604461753
308,17.6414294118,-0.0463997246,36.7604461753
309,17.6780698457,-0.0463696271,36.6404461753
310,17.7145701601,-0.0462715577,36.5004461753
311,17.7509106062,-0.0462742285,36.3404461753
312,17.7870710106,-0.0463291756,36.1604461753
313,17.8230712444,-0.0464528443,36.0004461753
314,17.8589316900,-0.0464587485,35.8604461753
315,17.8946720287,-0.0463710818,35.7404461753
316,17.9302721092,-0.0462097190,35.6004461753
317,17.9657125206,-0.0461601212,35.4404461753
318,18.0009727313,-0.0460312328,35.2604461753
319,18.0360331692,-0.0460071533,35.0604461753
320,18.0709135656,-0.0460660866,34.8804461753
321,18.1055937886,-0.0461904915,34.6804461753
322,18.1400537870,-0.0463661630,34.4604461753
323,18.1742741942,-0.0464177999,34.2204461753
324,18.2082746085,-0.0463711960,34.0004461753
325,18.2420350334,-0.0464090210,33.7604461753
326,18.2755754790,-0.0464024205,33.5404461753
327,18.3089158561,-0.0463345636,33.3404461753
