step,x,y,velocity
92,0.7209883581,1.5058387256,29.1722260608
93,0.7337755989,1.5320590469,29.1722260608
94,0.7464771460,1.5581971135,29.0607609038
95,0.7591524170,1.5843479324,29.0607609038
96,0.7718099876,1.6105073233,29.0607609038
97,0.7847640498,1.6365746790,29.1086716446
98,0.7979452069,1.6625279421,29.1086716446
99,0.8113145271,1.6883847795,29.1086716446
100,0.8245409795,1.7143149882,29.1086716446
101,0.8376087826,1.7402117961,29.0071049107
102,0.8508993210,1.7659950023,29.0071049107
103,0.8643751000,1.7916818767,29.0071049107
104,0.8780060080,1.8172867684,29.0071049107
105,0.8917772680,1.8428391699,29.0271049107
106,0.9056599056,1.8683312312,29.0271049107
107,0.9196284943,1.8937534787,29.0071049107
108,0.9333120664,1.9192848911,28.9671049107
109,0.9467542098,1.9448764814,28.9071049107
110,0.9600080204,1.9705210959,28.8671049107
111,0.9734915343,1.9960230628,28.8471049107
112,0.9867766159,2.0215838902,28.8071049107
113,1.0000874803,2.0468752405,28.5802643029
114,1.0136037228,2.0720120238,28.5402643029
115,1.0272974080,2.0970297867,28.5202643029
116,1.0406690227,2.1214787680,27.8666963489
117,1.0539986660,2.1459278806,27.8466963489
118,1.0670991382,2.1705005509,27.8466963489
119,1.0797408491,2.1946413895,27.2505585868
120,1.0922283717,2.2188173337,27.2105585868
121,1.1050181756,2.2428120704,27.1905585868
122,1.1180645730,2.2666682644,27.1905585868
123,1.1308090670,2.2900581992,26.6366509939
124,1.1433487241,2.3135585859,26.6366509939
125,1.1557260085,2.3371448957,26.6366509939
126,1.1681551066,2.3600665213,26.0745738343
127,1.1808224925,2.3828115508,26.0345738343
128,1.1932288620,2.4056317279,25.9745738343
129,1.2054323182,2.4285157349,25.9345738343
130,1.2177926877,2.4509368839,25.6024736395
131,1.2303717894,2.4731441544,25.5224736395
132,1.2431142694,2.4951425945,25.4224736395
133,1.2559734360,2.5169338085,25.3024736395
134,1.2684767578,2.5377932629,24.3197429086
135,1.2805593103,2.5587146659,24.1597429086
136,1.2923010389,2.5796688984,24.0197429086
137,1.3039100990,2.5997886843,23.2287765799
